id,name,year,month,val,vol,unit_value
Tomatoes cherry -2016-02,Tomatoes cherry,2016.0,2.0,798.0,898.0,0.89
Sweet potatoes -2016-07,Sweet potatoes,2016.0,7.0,0.0,0.0,0.0
Tomatoes roma (plum) -2015-04,Tomatoes roma (plum),2015.0,4.0,949.0,1749.0,0.54
Endive/escarole -2013-04,Endive/escarole,2013.0,4.0,653.0,641.0,1.02
Spinach -2016-07,Spinach,2016.0,7.0,0.0,0.0,0.0
Tomatoes roma (plum) -2015-02,Tomatoes roma (plum),2015.0,2.0,1073.0,2164.0,0.5
Tomatoes round -2012-08,Tomatoes round,2012.0,8.0,9377.0,18642.0,0.5
Tomatoes round -2014-11,Tomatoes round,2014.0,11.0,11861.0,13458.0,0.88
Mushrooms Agaricus ⁿ-2016-06,Mushrooms Agaricus ⁿ,2016.0,6.0,0.0,0.0,0.0
Cabbage -2015-01,Cabbage,2015.0,1.0,2751.0,8762.0,0.31
Mushrooms other -2012-04,Mushrooms other,2012.0,4.0,473.0,103.0,4.6
Artichokes -2014-07,Artichokes,2014.0,7.0,272.0,338.0,0.8
Cauliflower -2016-10,Cauliflower,2016.0,10.0,0.0,0.0,0.0
Onions bulb ⁿ-2016-02,Onions bulb ⁿ,2016.0,2.0,12939.0,38802.0,0.33
Cucumbers -2014-12,Cucumbers,2014.0,12.0,1895.0,3610.0,0.52
Lettuce other -2015-10,Lettuce other,2015.0,10.0,30794.0,41239.0,0.75
Brussels sprouts -2012-08,Brussels sprouts,2012.0,8.0,352.0,443.0,0.79
Mushrooms Agaricus ⁿ-2015-01,Mushrooms Agaricus ⁿ,2015.0,1.0,1662.0,1189.0,1.4
Tomatoes round -2014-12,Tomatoes round,2014.0,12.0,14815.0,17114.0,0.87
Peppers ⁿ-2016-09,Peppers ⁿ,2016.0,9.0,0.0,0.0,0.0
Carrots -2016-06,Carrots,2016.0,6.0,0.0,0.0,0.0
Pumpkin/squash/gourds -2013-08,Pumpkin/squash/gourds,2013.0,8.0,1503.0,2633.0,0.57
